transcript,domain,target name,E-value
TRINITY_DN166566_c1_g1_i1.p1,EF-hand domain pair,EF-hand_7,1.60E-24
TRINITY_DN166566_c1_g1_i1.p1,EF-hand domain pair,EF-hand_7,1.60E-24
TRINITY_DN166566_c1_g1_i1.p1,EF-hand domain pair,EF-hand_7,1.60E-24
TRINITY_DN166566_c1_g1_i1.p1,EF hand,EF-hand_1,2.10E-23
TRINITY_DN166566_c1_g1_i1.p1,EF hand,EF-hand_1,2.10E-23
TRINITY_DN166566_c1_g1_i1.p1,EF hand,EF-hand_1,2.10E-23
TRINITY_DN166566_c1_g1_i1.p1,EF hand,EF-hand_1,2.10E-23
TRINITY_DN166566_c1_g1_i1.p1,EF hand,EF-hand_1,2.10E-23
TRINITY_DN166566_c1_g1_i1.p1,EF hand,EF-hand_1,2.10E-23
TRINITY_DN166566_c1_g1_i1.p1,EF hand,EF-hand_1,2.10E-23
TRINITY_DN166566_c1_g1_i1.p1,EF-hand domain,EF-hand_6,1.40E-20
TRINITY_DN166566_c1_g1_i1.p1,EF-hand domain,EF-hand_6,1.40E-20
TRINITY_DN166566_c1_g1_i1.p1,EF-hand domain,EF-hand_6,1.40E-20
TRINITY_DN166566_c1_g1_i1.p1,EF-hand domain,EF-hand_6,1.40E-20
TRINITY_DN166566_c1_g1_i1.p1,EF-hand domain,EF-hand_6,1.40E-20
TRINITY_DN166566_c1_g1_i1.p1,EF-hand domain,EF-hand_6,1.40E-20
TRINITY_DN166566_c1_g1_i1.p1,EF-hand domain,EF-hand_6,1.40E-20
TRINITY_DN166566_c1_g1_i1.p1,EF hand,EF-hand_5,6.90E-20
TRINITY_DN166566_c1_g1_i1.p1,EF hand,EF-hand_5,6.90E-20
TRINITY_DN166566_c1_g1_i1.p1,EF hand,EF-hand_5,6.90E-20
TRINITY_DN166566_c1_g1_i1.p1,EF hand,EF-hand_5,6.90E-20
TRINITY_DN166566_c1_g1_i1.p1,EF hand,EF-hand_5,6.90E-20
TRINITY_DN166566_c1_g1_i1.p1,EF hand,EF-hand_5,6.90E-20
TRINITY_DN166566_c1_g1_i1.p1,EF hand,EF-hand_5,6.90E-20
TRINITY_DN166566_c1_g1_i1.p1,EF-hand domain pair,EF-hand_8,2.30E-12
TRINITY_DN166566_c1_g1_i1.p1,EF-hand domain pair,EF-hand_8,2.30E-12
TRINITY_DN166566_c1_g1_i1.p1,EF-hand domain pair,EF-hand_8,2.30E-12
TRINITY_DN166566_c1_g1_i1.p1,EF-hand domain pair,EF-hand_8,2.30E-12
TRINITY_DN166566_c1_g1_i1.p1,EF-hand domain pair,EF-hand_8,2.30E-12
TRINITY_DN166566_c1_g1_i1.p1,EF-hand domain pair,EF-hand_8,2.30E-12
TRINITY_DN166566_c1_g1_i1.p1,EF-hand domain pair,EF-hand_8,2.30E-12
TRINITY_DN166566_c1_g1_i1.p1,Secreted protein acidic and rich in cysteine Ca binding region,SPARC_Ca_bdg,7.50E-06
TRINITY_DN166566_c1_g1_i1.p1,Secreted protein acidic and rich in cysteine Ca binding region,SPARC_Ca_bdg,7.50E-06
TRINITY_DN166566_c1_g1_i1.p1,Secreted protein acidic and rich in cysteine Ca binding region,SPARC_Ca_bdg,7.50E-06
TRINITY_DN166566_c1_g1_i1.p1,Secreted protein acidic and rich in cysteine Ca binding region,SPARC_Ca_bdg,7.50E-06
TRINITY_DN166566_c1_g1_i1.p1,Domain of unknown function (DUF366),DUF366,0.15
TRINITY_DN166566_c1_g1_i1.p1,Domain of unknown function (DUF366),DUF366,0.15
TRINITY_DN166566_c1_g1_i1.p1,Domain of unknown function (DUF366),DUF366,0.15
TRINITY_DN166566_c1_g1_i1.p1,Caleosin related protein,Caleosin,0.48
TRINITY_DN166566_c1_g1_i1.p1,Caleosin related protein,Caleosin,0.48
TRINITY_DN166566_c1_g1_i1.p1,Caleosin related protein,Caleosin,0.48
TRINITY_DN166566_c1_g1_i1.p1,"Erythroid krueppel-like transcription factor, transactivation 2",EKLF_TAD2,8.5
TRINITY_DN166566_c1_g1_i1.p1,"Erythroid krueppel-like transcription factor, transactivation 2",EKLF_TAD2,8.5
TRINITY_DN166527_c0_g1_i1.p1,FKBP-type peptidyl-prolyl cis-trans isomerase,FKBP_C,2.40E-31
TRINITY_DN166527_c0_g1_i1.p1,FKBP-type peptidyl-prolyl cis-trans isomerase,FKBP_C,2.40E-31
TRINITY_DN166527_c0_g1_i1.p1,EF hand,EF-hand_1,2.40E-09
TRINITY_DN166527_c0_g1_i1.p1,EF hand,EF-hand_1,2.40E-09
TRINITY_DN166527_c0_g1_i1.p1,EF-hand domain pair,EF-hand_7,6.40E-09
TRINITY_DN166527_c0_g1_i1.p1,EF-hand domain pair,EF-hand_7,6.40E-09
TRINITY_DN166527_c0_g1_i1.p1,EF-hand domain,EF-hand_6,2.50E-07
TRINITY_DN166527_c0_g1_i1.p1,EF-hand domain,EF-hand_6,2.50E-07
TRINITY_DN166527_c0_g1_i1.p1,EF-hand domain pair,EF-hand_8,1.30E-05
TRINITY_DN166527_c0_g1_i1.p1,EF-hand domain pair,EF-hand_8,1.30E-05
TRINITY_DN166527_c0_g1_i1.p1,EF-hand domain pair,EF-hand_8,1.30E-05
TRINITY_DN166527_c0_g1_i1.p1,EF hand,EF-hand_5,0.00016
TRINITY_DN166527_c0_g1_i1.p1,EF hand,EF-hand_5,0.00016
TRINITY_DN166527_c0_g1_i1.p1,EF hand,EF-hand_10,0.0094
TRINITY_DN166527_c0_g1_i1.p1,EF hand,EF-hand_10,0.0094
TRINITY_DN166527_c0_g1_i1.p1,Secreted protein acidic and rich in cysteine Ca binding region,SPARC_Ca_bdg,0.09
TRINITY_DN166527_c0_g1_i1.p1,Secreted protein acidic and rich in cysteine Ca binding region,SPARC_Ca_bdg,0.09
TRINITY_DN165536_c5_g3_i3.p2,Actin,Actin,7.40E-126
TRINITY_DN166970_c1_g5_i2.p1,Coiled-coil domain-containing protein 124,Ccdc124,0.017
TRINITY_DN166970_c1_g5_i2.p1,Coiled-coil domain-containing protein 124,Ccdc124,0.017
TRINITY_DN166970_c1_g5_i2.p1,Replication protein P,Phage_lambda_P,0.096
TRINITY_DN166970_c1_g5_i2.p1,Domain of unknown function (DUF4351),DUF4351,4
TRINITY_DN166970_c1_g5_i2.p1,Domain of unknown function (DUF4351),DUF4351,4
TRINITY_DN166970_c1_g5_i2.p1,Domain of unknown function (DUF4351),DUF4351,4
TRINITY_DN166970_c1_g5_i2.p1,Domain of unknown function (DUF4351),DUF4351,4
TRINITY_DN166970_c1_g5_i2.p1,Domain of unknown function (DUF4351),DUF4351,4
TRINITY_DN166950_c2_g1_i1.p1,"MAM domain, meprin/A5/mu",MAM,3.00E-87
TRINITY_DN166950_c2_g1_i1.p1,"MAM domain, meprin/A5/mu",MAM,3.00E-87
TRINITY_DN166950_c2_g1_i1.p1,"MAM domain, meprin/A5/mu",MAM,3.00E-87
TRINITY_DN166950_c2_g1_i1.p1,"MAM domain, meprin/A5/mu",MAM,3.00E-87
TRINITY_DN166950_c2_g1_i1.p1,CUB domain,CUB,3.40E-21
TRINITY_DN166950_c2_g1_i1.p1,F5/8 type C domain,F5_F8_type_C,1.40E-08
TRINITY_DN166950_c2_g1_i1.p1,F5/8 type C domain,F5_F8_type_C,1.40E-08
TRINITY_DN166950_c2_g1_i1.p1,F5/8 type C domain,F5_F8_type_C,1.40E-08
TRINITY_DN166950_c2_g1_i1.p1,CUB-like domain,CUB_2,0.00018
TRINITY_DN147950_c0_g1_i1.p1,"Lytic polysaccharide mono-oxygenase, cellulose-degrading",LPMO_10,0.00064
TRINITY_DN147950_c0_g1_i1.p1,"Lytic polysaccharide mono-oxygenase, cellulose-degrading",LPMO_10,0.00064
TRINITY_DN157347_c0_g1_i2.p1,Peptidase family M13,Peptidase_M13_N,4.10E-101
TRINITY_DN157347_c0_g1_i2.p1,Peptidase family M13,Peptidase_M13,5.60E-63
TRINITY_DN157347_c0_g1_i2.p1,Peptidase family M13,Peptidase_M13,5.60E-63
TRINITY_DN157314_c3_g3_i1.p1,EF-hand domain pair,EF-hand_7,2.50E-14
TRINITY_DN157314_c3_g3_i1.p1,EF-hand domain pair,EF-hand_7,2.50E-14
TRINITY_DN157314_c3_g3_i1.p1,EF hand,EF-hand_1,1.50E-12
TRINITY_DN157314_c3_g3_i1.p1,EF hand,EF-hand_1,1.50E-12
TRINITY_DN157314_c3_g3_i1.p1,EF hand,EF-hand_1,1.50E-12
TRINITY_DN157314_c3_g3_i1.p1,EF hand,EF-hand_1,1.50E-12
TRINITY_DN157314_c3_g3_i1.p1,EF-hand domain,EF-hand_6,2.10E-10
TRINITY_DN157314_c3_g3_i1.p1,EF-hand domain,EF-hand_6,2.10E-10
TRINITY_DN157314_c3_g3_i1.p1,EF-hand domain,EF-hand_6,2.10E-10
TRINITY_DN157314_c3_g3_i1.p1,EF-hand domain,EF-hand_6,2.10E-10
TRINITY_DN157314_c3_g3_i1.p1,EF-hand domain pair,EF-hand_8,3.50E-08
TRINITY_DN157314_c3_g3_i1.p1,EF-hand domain pair,EF-hand_8,3.50E-08
TRINITY_DN157314_c3_g3_i1.p1,EF-hand domain pair,EF-hand_8,3.50E-08
TRINITY_DN157314_c3_g3_i1.p1,EF-hand domain pair,EF-hand_8,3.50E-08
TRINITY_DN157314_c3_g3_i1.p1,EF hand,EF-hand_5,7.60E-06
TRINITY_DN157314_c3_g3_i1.p1,EF hand,EF-hand_5,7.60E-06
TRINITY_DN157314_c3_g3_i1.p1,EF hand,EF-hand_5,7.60E-06
TRINITY_DN157314_c3_g3_i1.p1,EF hand,EF-hand_5,7.60E-06
TRINITY_DN157314_c3_g3_i1.p1,EF-hand domain,EF-hand_9,0.0004
TRINITY_DN157314_c3_g3_i1.p1,EF-hand domain,EF-hand_9,0.0004
TRINITY_DN157314_c3_g3_i1.p1,Secreted protein acidic and rich in cysteine Ca binding region,SPARC_Ca_bdg,0.0029
TRINITY_DN157314_c3_g3_i1.p1,Secreted protein acidic and rich in cysteine Ca binding region,SPARC_Ca_bdg,0.0029
TRINITY_DN157314_c3_g3_i1.p1,Cytoskeletal-regulatory complex EF hand,EF-hand_4,0.11
TRINITY_DN157314_c3_g3_i1.p1,Cytoskeletal-regulatory complex EF hand,EF-hand_4,0.11
TRINITY_DN157672_c1_g2_i1.p1,Sporulation protein YtfJ (Spore_YtfJ),Spore_YtfJ,1.9
TRINITY_DN157672_c1_g2_i1.p2,Protein of unknown function (DUF1510),DUF1510,5.2
TRINITY_DN133163_c0_g1_i1.p1,CUB domain,CUB,6.70E-45
TRINITY_DN133163_c0_g1_i1.p1,CUB domain,CUB,6.70E-45
TRINITY_DN133163_c0_g1_i1.p1,CUB-like domain,CUB_2,4.60E-05
TRINITY_DN133163_c0_g1_i1.p1,CUB-like domain,CUB_2,4.60E-05
TRINITY_DN162318_c0_g3_i1.p1,EF-hand domain pair,EF-hand_7,6.50E-23
TRINITY_DN162318_c0_g3_i1.p1,EF-hand domain pair,EF-hand_7,6.50E-23
TRINITY_DN162318_c0_g3_i1.p1,EF hand,EF-hand_1,4.30E-22
TRINITY_DN162318_c0_g3_i1.p1,EF hand,EF-hand_1,4.30E-22
TRINITY_DN162318_c0_g3_i1.p1,EF hand,EF-hand_1,4.30E-22
TRINITY_DN162318_c0_g3_i1.p1,EF hand,EF-hand_1,4.30E-22
TRINITY_DN162318_c0_g3_i1.p1,EF-hand domain,EF-hand_6,6.90E-18
TRINITY_DN162318_c0_g3_i1.p1,EF-hand domain,EF-hand_6,6.90E-18
TRINITY_DN162318_c0_g3_i1.p1,EF-hand domain,EF-hand_6,6.90E-18
TRINITY_DN162318_c0_g3_i1.p1,EF-hand domain,EF-hand_6,6.90E-18
TRINITY_DN162318_c0_g3_i1.p1,EF-hand domain pair,EF-hand_8,4.20E-15
TRINITY_DN162318_c0_g3_i1.p1,EF-hand domain pair,EF-hand_8,4.20E-15
TRINITY_DN162318_c0_g3_i1.p1,EF-hand domain pair,EF-hand_8,4.20E-15
TRINITY_DN162318_c0_g3_i1.p1,EF hand,EF-hand_5,2.70E-06
TRINITY_DN162318_c0_g3_i1.p1,EF hand,EF-hand_5,2.70E-06
TRINITY_DN162318_c0_g3_i1.p1,EF hand,EF-hand_5,2.70E-06
TRINITY_DN162318_c0_g3_i1.p1,EF hand,EF-hand_5,2.70E-06
TRINITY_DN162318_c0_g3_i1.p1,Secreted protein acidic and rich in cysteine Ca binding region,SPARC_Ca_bdg,1.30E-05
TRINITY_DN162318_c0_g3_i1.p1,Secreted protein acidic and rich in cysteine Ca binding region,SPARC_Ca_bdg,1.30E-05
TRINITY_DN162318_c0_g3_i1.p1,EF-hand domain,EF-hand_9,3.50E-05
TRINITY_DN162318_c0_g3_i1.p1,EF-hand domain,EF-hand_9,3.50E-05
TRINITY_DN162318_c0_g3_i1.p1,Cytoskeletal-regulatory complex EF hand,EF-hand_4,0.0012
TRINITY_DN162318_c0_g3_i1.p1,Cytoskeletal-regulatory complex EF hand,EF-hand_4,0.0012
TRINITY_DN162318_c0_g3_i1.p1,Cytoskeletal-regulatory complex EF hand,EF-hand_4,0.0012
TRINITY_DN162318_c0_g3_i1.p1,Retrotransposon gag protein,Retrotrans_gag,0.04
TRINITY_DN162318_c0_g3_i1.p1,Retrotransposon gag protein,Retrotrans_gag,0.04
TRINITY_DN162318_c0_g3_i1.p1,Protein of unknown function (DUF1296),DUF1296,0.046
TRINITY_DN162318_c0_g3_i1.p1,Protein of unknown function (DUF1456),DUF1456,0.26
TRINITY_DN162318_c0_g3_i1.p1,Protein of unknown function (DUF1456),DUF1456,0.26
TRINITY_DN163690_c3_g1_i6.p1,Fibronectin type III domain,fn3,5.40E-06
TRINITY_DN163690_c3_g1_i6.p1,Fibronectin type III domain,fn3,5.40E-06
TRINITY_DN163690_c3_g1_i6.p1,Fibronectin type III domain,fn3,5.40E-06
TRINITY_DN163690_c3_g1_i6.p1,"Interferon-alpha/beta receptor, fibronectin type III",Interfer-bind,0.00057
TRINITY_DN163690_c3_g1_i6.p1,Uncharacterised conserved protein (DUF2369),DUF2369,0.025
TRINITY_DN163690_c3_g1_i6.p1,Uncharacterised conserved protein (DUF2369),DUF2369,0.025
